Actions,Name,Status,Cost,Publisher Revenue,Profit,ROI,CPA,EPA
"=""""","=""S1 - GUA - Préstamos estatales - prestamos-estatales.xyz""","=""RUNNING""","=""47.300000000000004""","=""53.74""","=""6.439999999999998""","=""13.615221987315005""","=""0.026890278567367826""","=""0.030551449687322343"""
"=""""","=""S1 - COL - Curso IA Gratis - cursos-de-ia-gratis.xyz (dinamico)""","=""RUNNING""","=""46.209999999999994""","=""74.34""","=""28.13000000000001""","=""60.87426963860639""","=""0.05494649227110582""","=""0.08839476813317479"""
"=""""","=""S1 - UY - Prestamos Rapidos - prestamos-online-rapidos-intl.xyz (2)""","=""RUNNING""","=""45.60000000000001""","=""44.17""","=""-1.4300000000000068""","=""-3.1359649122807163""","=""0.10780141843971633""","=""0.10442080378250591"""
"=""""","=""S1 - COL - Subsidio vivienda - subsidios-del-gobierno-para-comprar-casa.xyz (Dinamico)""","=""RUNNING""","=""41.38000000000001""","=""80.27000000000001""","=""38.89""","=""93.98260028999515""","=""0.025339865278628297""","=""0.0491549295774648"""
"=""""","=""S1 - BOL - Préstamos estatales - prestamos-estatales.xyz""","=""RUNNING""","=""41.12""","=""42.24""","=""1.1200000000000045""","=""2.7237354085603225""","=""0.019278012189404593""","=""0.01980309423347398"""
"=""""","=""S1 - CR - Refinanciamiento deuda - refinanciacion-de-deuda.xyz""","=""RUNNING""","=""40.14""","=""53.43999999999999""","=""13.29999999999999""","=""33.1340308918784""","=""0.06623762376237624""","=""0.08818481848184817"""
"=""""","=""S1 - BO - Microcredito Personal - microcredito-personal.xyz""","=""RUNNING""","=""39.13999999999999""","=""33.980000000000004""","=""-5.1599999999999895""","=""-13.183444047010706""","=""0.02897113249444855""","=""0.02515173945225759"""
"=""""","=""S1 - BOTSW - Becas China - scholarships-to-study-in-china-intl.xyz""","=""RUNNING""","=""38.6""","=""47.57""","=""8.969999999999999""","=""23.238341968911914""","=""0.08713318284424379""","=""0.10738148984198646"""
"=""""","=""S1 - GHA- Prestamos estatales - state-loans-intl.xyz""","=""RUNNING""","=""38.35""","=""44.08000000000001""","=""5.730000000000011""","=""14.941329856584124""","=""0.02986760124610592""","=""0.03433021806853583"""
"=""""","=""S1 - PE - Refinanciamiento deuda - refinanciacion-de-deuda.xyz""","=""PAUSED""","=""36.46""","=""30.249999999999996""","=""-6.210000000000004""","=""-17.032364234777848""","=""0.04674358974358975""","=""0.038782051282051276"""
"=""""","=""S1 - BO - Cursos tecnicos online - cursos-tecnicos-online.xyz""","=""RUNNING""","=""36.25""","=""33.09""","=""-3.1599999999999966""","=""-8.717241379310336""","=""0.05559815950920245""","=""0.050751533742331295"""
"=""""","=""S1 - PA - Ingles gratuito - aprender-ingles-gratis.xyz""","=""RUNNING""","=""35.410000000000004""","=""37.76999999999999""","=""2.359999999999985""","=""6.66478395933348""","=""0.088525""","=""0.09442499999999997"""
"=""""","=""S1 - CL - Tarjetas de Credito -  tarjetas-de-credito-para-jovenes.xyz (2)""","=""RUNNING""","=""35.14""","=""35.36""","=""0.21999999999999886""","=""0.6260671599316986""","=""0.08987212276214834""","=""0.09043478260869565"""
"=""""","=""S1 - CR - Préstamos estatales - prestamos-estatales.xyz""","=""RUNNING""","=""34.879999999999995""","=""35.38999999999999""","=""0.509999999999998""","=""1.4621559633027468""","=""0.056348949919224546""","=""0.05717285945072697"""
"=""""","=""S1 - PA - Prestamos Rapidos - prestamos-online-rapidos-intl.xyz (2)""","=""RUNNING""","=""34.59""","=""29.119999999999994""","=""-5.4700000000000095""","=""-15.813819022838995""","=""0.07602197802197803""","=""0.06399999999999999"""
"=""""","=""S1 - PE - Préstamos estatales - prestamos-estatales.xyz""","=""RUNNING""","=""31.630000000000003""","=""22.72""","=""-8.910000000000004""","=""-28.169459374012025""","=""0.03434310532030402""","=""0.02466883821932682"""
"=""""","=""S1 - PR - Subsidio vivienda - subsidios-del-gobierno-para-comprar-casa.xyz (Dinamico)""","=""RUNNING""","=""31.28""","=""25.979999999999997""","=""-5.300000000000004""","=""-16.94373401534528""","=""0.06256""","=""0.05195999999999999"""
"=""""","=""S1 - CR - Tarjetas de Credito -  tarjetas-de-credito-para-jovenes.xyz""","=""PAUSED""","=""31.07""","=""27.580000000000002""","=""-3.4899999999999984""","=""-11.232700354039261""","=""0.15852040816326532""","=""0.14071428571428574"""
