0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Date,Campaign Domain,Total Sessions,Mobile Sessions,Desktop Sessions,Mobile Sessions %,Distinct IPs,Distinct Mobile IPs,Distinct Desktop IPs,Distinct Mobile IPs %,Searches,Clicks,Estimated Gross Revenue,Revenue Per Session,Revenue Per Search,Revenue Per IP,Revenue Per Click,Clicks Per Session %
2023-09-30,a-great-us-family.fyi,13,5,8,38.46,12,5,7,41.67,0,0,0,0,0,0,0,0
2023-09-30,a-great-us-furniture.fyi,13,2,11,15.38,13,2,11,15.38,0,0,0,0,0,0,0,0
2023-09-30,a-great-us-get-thin.zone,23,6,17,26.09,16,3,13,18.75,0,0,0,0,0,0,0,0
2023-09-30,a-great-us-grants.fyi,10,3,7,30,9,3,6,33.33,0,0,0,0,0,0,0,0
2023-09-30,a-great-us-nice-bathroom.zone,18,9,9,50,16,7,9,43.75,0,0,0,0,0,0,0,0
2023-09-30,a-great-us-online-uni.zone,36,31,5,86.11,11,6,5,54.55,0,0,0,0,0,0,0,0
2023-09-30,a-great-us-seguridad-de-casa.zone,20,6,14,30,16,4,12,25,0,0,0,0,0,0,0,0
2023-09-30,a-great-us-service-air-conditioning.zone,23,9,14,39.13,21,7,14,33.33,0,0,0,0,0,0,0,0
2023-09-30,a-great-us-stay-cool.fyi,13,2,11,15.38,9,2,7,22.22,0,0,0,0,0,0,0,0
2023-09-30,a-great-us-tarjeta-de-credito.zone,23,8,15,34.78,21,6,15,28.57,0,0,0,0,0,0,0,0
2023-09-30,a-great-us-universidades.fyi,15,6,9,40,13,5,8,38.46,0,0,0,0,0,0,0,0
2023-09-30,a-great-usa-cursos-de-marketing-digital.zone,22,11,11,50,20,9,11,45,0,0,0,0,0,0,0,0
2023-09-30,a-great-usa-hair-transplant.zone,21,10,11,47.62,18,8,10,44.44,0,0,0,0,0,0,0,0
2023-09-30,a-great-usa-home-buying.fyi,17,4,13,23.53,16,4,12,25,0,0,0,0,0,0,0,0
2023-09-30,a-great-usa-real-estate-in-florida.zone,21,9,12,42.86,16,7,10,43.75,0,0,0,0,0,0,0,0
